ID	ENTITY_NAME__C	EXECUTED_PRODUCT_NAME__C	PRODUCT_NAME__C	APPROVE_ACTION_PLAN__C	Execution Tracker	EXECUTION_TRACKER_PRODUCT__C
a0l200000061PMlAAM	0012000000yF5ZOAA0	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31200000000Vw6	ET#56770	
a0l200000061PMmAAM	0012000000yF5ZOAA0	DSP Equity	DSP BlackRock Equity Fund	a31200000000Vw7	ET#56771	
a0l200000061PMoAAM	0012000000yF5ZOAA0	IDFC MM Treasury A	IDFC Money Manager Fund - Treasury Plan A	a31200000000Vw9	ET#56773	
a0l200000061PMpAAM	0012000000yF5ZOAA0	Gold ETF	HDFC Gold Fund	a31200000000VwA	ET#56774	
a0l200000061PMqAAM	0012000000yF5ZOAA0	BSL Savings	Birla Sun Life Savings Fund	a31200000000VwB	ET#56775	
a0l200000061PMrAAM	0012000000yF5ZOAA0	IDFC MM Treasury A	IDFC Money Manager Fund - Treasury Plan A	a31200000000VwC	ET#56776	
a0lw0000008shhEAAQ	0012000000js6ucAAA	IDFC - Premier Equity Fund Reg (G) [Folio:1286737/01]	#N/A	a31w000000029sW	ET#62262 	
a0lw0000008shhFAAQ	0012000000js6ucAAA	IDFC - Premier Equity Fund Reg (G) [Folio:1286737/01]	#N/A	a31w000000029sW	ET#62263 	
a0lw0000008shhOAAQ	0012000000js6ucAAA	Birla SL - DBF Ret (G) [Folio:1015942109]	#N/A	a31w000000029sd	ET#62272	
a0lw0000008shhPAAQ	0012000000js6ucAAA	Birla SL - DBF Ret (G) [Folio:1015942109]	#N/A	a31w000000029sd	ET#62273 	
a0lw0000008shhQAAQ	0012000000js6ucAAA	HDFC - Top 200 Fund - (G) [Folio:7947423/40]	#N/A	a31w000000029se	ET#62274 	
a0lw0000008shhRAAQ	0012000000js6ucAAA	HDFC - Top 200 Fund - (G) [Folio:7947423/40]	#N/A	a31w000000029se	ET#62275 	
a0lw0000008sfcvAAA	0012000000xDOi0AAG	Kotak Select Focus Fund 	Kotak Select Focus	a31200000001IxZ	ET#62211	
a0lw0000008sfcwAAA	0012000000xDOi0AAG	Kotak Select Focus Fund 	Kotak Select Focus	a31200000001IxY	ET#62212	
a0l200000061BRmAAM	0012000000qAhk3AAC	ICICI Pru Focussed Blue Chip Fund	ICICI Blue Chip Fund Growth	a31200000000nOW	ET#43630	
a0l200000061BRnAAM	0012000000qAhk3AAC	ICICI Pru Focussed Blue Chip Fund	ICICI Blue Chip Fund Growth	a31200000000nOW	ET#43631 	
a0l200000061BRoAAM	0012000000qAhk3AAC	ICICI Pru Flexi Income	ICICI Flexi Income Fund	a31200000000nOV	ET#43632 	
a0l200000061BRpAAM	0012000000qAhk3AAC	HDFC Tax Saver (D)	HDFC Tax Saver	a31200000000nOT	ET#43633 	
a0l200000061BRrAAM	0012000000qAhk3AAC	BSL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000000nOQ	ET#43635 	
a0l200000061BRsAAM	0012000000qAhk3AAC	BSL Dynamic Bond Fund	Birla Sun Life Dynamic Bond Fund	a31200000000nOQ	ET#43636 	
a0l200000061BS4AAM	0012000000qAhk3AAC	IDFC Money Manager	IDFC Money Manager Fund - Treasury Plan A	a31200000000nOG	ET#43648 	
a0l200000061BRtAAM	0012000000qAhk3AAC	DSP Money Manager	DSP BlackRock Money Manager Fund	a31200000000nOP	ET#43637 	
a0l200000061BRuAAM	0012000000qAhk3AAC	IDFC Premier Equity	IDFC Premier Equity Fund - Plan A	a31200000000nOO	ET#43638 	
a0l200000061BRwAAM	0012000000qAhk3AAC	DSP Equity	DSP BlackRock Equity Fund	a31200000000nON	ET#43640 	
a0l200000061BRxAAM	0012000000qAhk3AAC	DSP Equity	DSP BlackRock Equity Fund	a31200000000nON	ET#43641 	
a0l200000061BRyAAM	0012000000qAhk3AAC	Reliance Money Manager	Reliance Money Manager Fund - Retail Plan	a31200000000nOL	ET#43642 	
a0l200000061BRzAAM	0012000000qAhk3AAC	Reliance Gold Savings Fund	Reliance Gold Savings Fund	a31200000000nOK	ET#43643 	
a0l200000061BS0AAM	0012000000qAhk3AAC	Reliance Gold Savings Fund	Reliance Gold Savings Fund	a31200000000nOK	ET#43644 	
a0l200000061BS1AAM	0012000000qAhk3AAC	HDFC Tax Saver (G)	HDFC Tax Saver	a31200000000nOJ	ET#43645 	
a0l200000061BS2AAM	0012000000qAhk3AAC	HDFC Tax Saver (D)	HDFC Tax Saver	a31200000000nOI	ET#43646 	
a0l200000061BS3AAM	0012000000qAhk3AAC	BSL Savings	Birla Sun Life Savings Fund	a31200000000nOH	ET#43647 	
a0l200000061BSbAAM	0012000000qAhk3AAC	AXIS Triple Advantage	Axis Triple Advanatage Fund	a31200000000nNi	ET#43681	
a0l200000061BShAAM	0012000000qAhk3AAC	AXIS Triple Advantage	Axis Triple Advanatage Fund	a31200000000nNc	ET#43687	
a0l200000061BSnAAM	0012000000qAhk3AAC	AXIS Triple Advantage	Axis Triple Advanatage Fund	a31200000000nNW	ET#43693	
a0l200000061BStAAM	0012000000qAhk3AAC	AXIS Triple Advantage	Axis Triple Advanatage Fund	a31200000000nNQ	ET#43699	
a0l200000061BSvAAM	0012000000qOuGrAAK	BSL Savings	Birla Sun Life Savings Fund	a31200000000nOU	ET#43701 	
a0l200000061BSwAAM	0012000000qOuGrAAK	BSL Savings	Birla Sun Life Savings Fund	a31200000000nOS	ET#43702 	
a0l200000061BSxAAM	0012000000qOuGrAAK	BSL Savings	Birla Sun Life Savings Fund	a31200000000nOS	ET#43703 	
a0l200000061BSyAAM	0012000000qOuGrAAK	IDFC Money Manager	IDFC Money Manager Fund - Treasury Plan A	a31200000000nOM	ET#43704	
a0l200000061BSzAAM	0012000000qOuGrAAK	IDFC Money Manager	IDFC Money Manager Fund - Treasury Plan A	a31200000000nOM	ET#43705 	
a0l200000061BRgAAM	0012000000qAhk3AAC	Max Bupa	#N/A	a31200000000nOc	ET#43624	
a0lw0000008sen2AAA	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xCl	ET#62144	
a0lw0000008sen3AAA	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xCk	ET#62145	
a0lw0000008sen4AAA	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xCj	ET#62146	
a0lw0000008sen5AAA	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xCi	ET#62147	
a0lw0000008sen6AAA	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xCh	ET#62148	
a0lw0000008sen7AAA	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xCg	ET#62149	
a0lw0000008sen8AAA	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xCf	ET#62150	
a0lw0000008sen9AAA	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xCe	ET#62151	
a0lw0000008senAAAQ	00120000012CbhUAAS	Pramerica Equity	Pramerica Equity Fund	a31w00000001xCd	ET#62152	
a0lw0000008senBAAQ	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xCc	ET#62153	
a0lw0000008senCAAQ	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xCb	ET#62154	
a0lw0000008senDAAQ	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xCa	ET#62155	
a0lw0000008senEAAQ	00120000012CbhUAAS	Pramerica Equity	Pramerica Equity Fund	a31w00000001xCZ	ET#62130	
a0lw0000008senFAAQ	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xCY	ET#62131	
a0lw0000008senGAAQ	00120000012CbhUAAS	BSL Dividend Yield Plus	Birla Sun Life Dividend Yield Plus	a31w00000001xCX	ET#62132	
a0lw0000008seldAAA	00120000012CbhUAAS	Bajaj Allianz Premium Personal Guard	Bajaj Allianz Premier Personal Guard	a31w00000001xE6	ET#62057	
a0lw0000008selfAAA	00120000012CbhUAAS	Bajaj Allianz Critical Illness	Bajaj Allianz Critical Illness Cover	a31w00000001xE4	ET#62059	
a0lw0000008seliAAA	00120000012CbhUAAS	HDFC Life Click 2 Protect.	HDFC Life Click 2 Protect	a31w00000001xE1	ET#62062	
a0lw0000008selnAAA	00120000012CbhUAAS	Reliance Growth Fund - G	#N/A	a31w00000001xDx	ET#62096	
a0lw0000008seloAAA	00120000012CbhUAAS	HDFC Equity Fund- G	#N/A	a31w00000001xDw	ET#62097	
a0lw0000008seluAAA	00120000012CbhUAAS	IDFC Equity Fund Plan A- G	#N/A	a31w00000001xDt	ET#62100	
a0lw0000008sem0AAA	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xDn	ET#62106	
a0lw0000008sem1AAA	00120000012CbhUAAS	BSL Dynamic	Birla Sun Life Dynamic Bond Fund	a31w00000001xDm	ET#62107	
a0lw0000008sem2AAA	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xDl	ET#62108	
a0lw0000008sem3AAA	00120000012CbhUAAS	HDFC Equity Fund- G	#N/A	a31w00000001xDk	ET#62109	
a0lw0000008sem4AAA	00120000012CbhUAAS	HDFC Top 200 Fund-G	#N/A	a31w00000001xDj	ET#62110	
a0lw0000008sem5AAA	00120000012CbhUAAS	ICICI Prudential Dynamic Plan - G	#N/A	a31w00000001xDi	ET#62111	
a0lw0000008sem6AAA	00120000012CbhUAAS	Reliance Growth Fund - G	#N/A	a31w00000001xDh	ET#62112	
a0lw0000008sem7AAA	00120000012CbhUAAS	Pramerica Equity	Pramerica Equity Fund	a31w00000001xDg	ET#62113	
a0lw0000008sem8AAA	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xDf	ET#62114	
a0lw0000008semBAAQ	00120000012CbhUAAS	IDFC Equity Fund Plan A- G	#N/A	a31w00000001xDc	ET#62117	
a0lw0000008semEAAQ	00120000012CbhUAAS	BSL Dividend Yield Plus	Birla Sun Life Dividend Yield Plus	a31w00000001xDZ	ET#62094	
a0lw0000008semFAAQ	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xDY	ET#62095	
a0lw0000008semGAAQ	00120000012CbhUAAS	Pramerica Equity	Pramerica Equity Fund	a31w00000001xDX	ET#62096	
a0lw0000008semHAAQ	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xDW	ET#62097	
a0lw0000008semIAAQ	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xDV	ET#62098	
a0lw0000008semJAAQ	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xDU	ET#62099	
a0lw0000008semKAAQ	00120000012CbhUAAS	BSL Dividend Yield Plus	Birla Sun Life Dividend Yield Plus	a31w00000001xDT	ET#62100	
a0lw0000008semLAAQ	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xDS	ET#62101	
a0lw0000008semMAAQ	00120000012CbhUAAS	Pramerica Equity	Pramerica Equity Fund	a31w00000001xDR	ET#62102	
a0lw0000008semNAAQ	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xDQ	ET#62103	
a0lw0000008semOAAQ	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xDP	ET#62104	
a0lw0000008semPAAQ	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xDO	ET#62105	
a0lw0000008semQAAQ	00120000012CbhUAAS	IDFC MM Treasury A	IDFC Money Manager Fund - Treasury Plan A	a31w00000001xDN	ET#62106	
a0lw0000008semRAAQ	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xDM	ET#62107	
a0lw0000008semSAAQ	00120000012CbhUAAS	BSL Dividend Yield Plus	Birla Sun Life Dividend Yield Plus	a31w00000001xDL	ET#62108	
a0lw0000008semTAAQ	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xDK	ET#62109	
a0lw0000008semUAAQ	00120000012CbhUAAS	Pramerica Equity	Pramerica Equity Fund	a31w00000001xDJ	ET#62110	
a0lw0000008semVAAQ	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xDI	ET#62111	
a0lw0000008semWAAQ	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xDH	ET#62112	
a0lw0000008semXAAQ	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xDG	ET#62113	
a0lw0000008semYAAQ	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xDF	ET#62114	
a0lw0000008semZAAQ	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xDE	ET#62115	
a0lw0000008semaAAA	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xDD	ET#62116	
a0lw0000008sembAAA	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xDC	ET#62117	
a0lw0000008semcAAA	00120000012CbhUAAS	Pramerica Equity	Pramerica Equity Fund	a31w00000001xDB	ET#62118	
a0lw0000008semdAAA	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xDA	ET#62119	
a0lw0000008semeAAA	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xD9	ET#62120	
a0lw0000008semfAAA	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xD8	ET#62121	
a0lw0000008semhAAA	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xD6	ET#62123	
a0lw0000008semiAAA	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xD5	ET#62124	
a0lw0000008semjAAA	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xD4	ET#62125	
a0lw0000008semkAAA	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xD3	ET#62126	
a0lw0000008semlAAA	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xD2	ET#62127	
a0lw0000008semmAAA	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xD1	ET#62128	
a0lw0000008semnAAA	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xD0	ET#62129	
a0lw0000008semoAAA	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xCz	ET#62130	
a0lw0000008sempAAA	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xCy	ET#62131	
a0lw0000008semqAAA	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xCx	ET#62132	
a0lw0000008semrAAA	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xCw	ET#62133	
a0lw0000008semsAAA	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xCv	ET#62134	
a0lw0000008semtAAA	00120000012CbhUAAS	BSL Dividend Yield Plus	Birla Sun Life Dividend Yield Plus	a31w00000001xCu	ET#62135	
a0lw0000008semuAAA	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xCt	ET#62136	
a0lw0000008semvAAA	00120000012CbhUAAS	Pramerica Equity	Pramerica Equity Fund	a31w00000001xCs	ET#62137	
a0lw0000008semwAAA	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xCr	ET#62138	
a0lw0000008semxAAA	00120000012CbhUAAS	Axis Triple Advantage	Axis Triple Advanatage Fund	a31w00000001xCq	ET#62139	
a0lw0000008semyAAA	00120000012CbhUAAS	Pramerica Short Term Income	Pramerica Short Term Income Fund	a31w00000001xCp	ET#62140	
a0lw0000008sen0AAA	00120000012CbhUAAS	Reliance equity opportunities fund	Reliance Equity Opportunities Fund - Retail Plan (G)	a31w00000001xCn	ET#62142	
a0lw0000008sen1AAA	00120000012CbhUAAS	BSL Frontline Equity	Birla Sun Life Frontline Equity Fund	a31w00000001xCm	ET#62143	
a0l200000061G1gAAE	0012000000iWCcrAAG	SBI - Blue Chip Fund (D) [Folio:6299983]	TestTest	a31200000001Gnr	ET#47165 	
a0l200000061G1hAAE	0012000000iWCcrAAG	Axis - Triple Advantage Fund (G) [Folio:9048051712]	#N/A	a31200000001Gnq	ET#47166 	
a0l200000061G1iAAE	0012000000iWCcrAAG	HDFC - Top 200 Fund - (G) [Folio:6036453/56]	HDFC Top 200 Fund	a31200000001Gnp	ET#47127	
a0l200000061G1jAAE	0012000000iWCcrAAG	HDFC - Top 200 Fund - (G) [Folio:6036453/56]	HDFC Top 200 Fund	a31200000001Gnp	ET#47127	
a0l200000061G1kAAE	0012000000iWCcrAAG	DSP BlackRock - Equity Fund Reg (G) [Folio:2586395/39]	#N/A	a31200000001Gnn	ET#47169 	
a0l200000061G1nAAE	0012000000iWCcrAAG	Birla SL - FTP Sr GG Reg (G) [Folio:1015179833]	#N/A	a31200000001Gnl	ET#47172 	
a0l200000061G1oAAE	0012000000iWCcrAAG	HDFC - Top 200 Fund - (G) [Folio:6077190/65]	HDFC Top 200 Fund	a31200000001Gnj	ET#47173 	
a0l200000061G1qAAE	0012000000iWCcrAAG	HDFC - Top 200 Fund - (G) [Folio:7640557/11]	HDFC Top 200 Fund	a31200000001Gnf	ET#47175 	
a0l200000061G1sAAE	0012000000iWCcrAAG	Birla SL - Mid Cap Fund Plan Reg (G) [Folio:1015176794]	#N/A	a31200000001Gnd	ET#47176 	
a0l200000061G1uAAE	0012000000iWCcrAAG	DSP BlackRock - Top 100 Equity Fund (G) [Folio:2586395/39]	#N/A	a31200000001Gnc	ET#47178 	
a0l200000061G0hAAE	0012000000fq8aZAAQ	SBI - M Tax Gain (D) [Folio:7392059]	#N/A	a31200000001Go0	ET#47104 	
