ID,NAME,RECORDTYPEID,PRODUCT_NAME__C,PRODUCTTYPE__C,PRODUCT_MANUFACTURER__C,IS_ACTIVE__C,INVESTMENT_TYPE__C,IS_RECOMMENDED__C
a1RW000000015gvMAA,PRD-002874,012W00000004QVmIAM,IDFC Premier Equity Fund - Plan A,Mutual Fund,a1QW00000001FvDMAU,true,Lumpsum,TRUE
a1RW000000015iaMAA,PRD-002927,012W00000004QVmIAM,IDFC Sterling Equity Fund,Mutual Fund,a1QW00000001FvDMAU,true,SIP,TRUE
a1RW000000015ibMAA,PRD-002928,012W00000004QVmIAM,Pramerica Credit Opportunities Fund,Mutual Fund,a1QW00000001FvEMAU,true,SIP,TRUE
a1RW000000015gxMAA,PRD-002876,012W00000004QVmIAM,Pramerica Equity Fund,Mutual Fund,a1QW00000001FvEMAU,true,Lumpsum,TRUE
a1RW000000015idMAA,PRD-002930,012W00000004QVmIAM,Pramerica Short Term Income Fund,Mutual Fund,a1QW00000001FvEMAU,true,SIP,TRUE
a1RW000000015gzMAA,PRD-002878,012W00000004QVmIAM,Pramerica Ultra Short Term Bond Fund,Mutual Fund,a1QW00000001FvEMAU,true,Lumpsum,TRUE
a1RW000000015h0MAA,PRD-002879,012W00000004QVmIAM,Premium persoanl Guard,Mutual Fund,a1QW00000001FvFMAU,true,Lumpsum,TRUE
a1RW000000015h2MAA,PRD-002881,012W00000004QVmIAM,Reliance Dynamic Bond Fund,Mutual Fund,a1QW00000001FuTMAU,true,Lumpsum,TRUE
a1RW000000015h1MAA,PRD-002880,012W00000004QVmIAM,Reliance Equity Opportunities Fund - Retail Plan (G),Mutual Fund,a1QW00000001FuTMAU,true,Lumpsum,TRUE
a1RW000000015h3MAA,PRD-002882,012W00000004QVmIAM,Reliance Gold Savings Fund,Mutual Fund,a1QW00000001FuTMAU,true,Lumpsum,TRUE
a1RW000000015h4MAA,PRD-002883,012W00000004QVmIAM,Reliance Growth Fund - Retail Plan,Mutual Fund,a1QW00000001FuTMAU,true,Lumpsum,TRUE
a1RW000000015ihMAA,PRD-002934,012W00000004QVmIAM,Reliance Liquid Fund - Cash Plan,Mutual Fund,a1QW00000001FuTMAU,true,SIP,TRUE
a1RW000000015h5MAA,PRD-002884,012W00000004QVmIAM,Reliance Money Manager Fund - Retail Plan,Mutual Fund,a1QW00000001FuTMAU,true,Lumpsum,TRUE
a1RW000000015h6MAA,PRD-002885,012W00000004QVmIAM,Reliance Monthly Income Plan,Mutual Fund,a1QW00000001FuTMAU,true,Lumpsum,TRUE
a1RW000000015h7MAA,PRD-002886,012W00000004QVmIAM,Reliance Regular Savings Fund - Debt Option - Retail Plan,Mutual Fund,a1QW00000001FuTMAU,true,Lumpsum,TRUE
a1RW000000015h8MAA,PRD-002887,012W00000004QVmIAM,Reliance Tax Saver (ELSS) Fund,Mutual Fund,a1QW00000001FuTMAU,true,Lumpsum,TRUE
a1RW000000015h9MAA,PRD-002888,012W00000004QVmIAM,SBI Dynamic Bond Fund,Mutual Fund,a1QW00000001FvGMAU,true,Lumpsum,TRUE
a1RW000000015hAMAQ,PRD-002889,012W00000004QVmIAM,SBI Emerging Businesses Fund - Regular Plan - G,Mutual Fund,a1QW00000001FvGMAU,true,Lumpsum,TRUE
a1RW000000015hIMAQ,PRD-002897,012W00000004QVmIAM,SBI Magnum Tax Gain Scheme,Mutual Fund,a1QW00000001FvGMAU,true,Lumpsum,TRUE
a1RW000000015hBMAQ,PRD-002890,012W00000004QVmIAM,Sundaram Select Focus,Mutual Fund,a1QW00000001FvHMAU,true,Lumpsum,TRUE
a1RW000000015hCMAQ,PRD-002891,012W00000004QVmIAM,Sundaram Select Mid Cap,Mutual Fund,a1QW00000001FvHMAU,true,Lumpsum,TRUE
a1RW000000015hEMAQ,PRD-002893,012W00000004QVmIAM,Templeton India Equity Income Fund,Mutual Fund,a1QW00000001FvIMAU,true,Lumpsum,TRUE
a1RW000000015hDMAQ,PRD-002892,012W00000004QVmIAM,Templeton India Growth Fund,Mutual Fund,a1QW00000001FvIMAU,true,Lumpsum,TRUE
a1RW000000015hFMAQ,PRD-002894,012W00000004QVmIAM,Templeton India Short Term Income Plan,Mutual Fund,a1QW00000001FvIMAU,true,Lumpsum,TRUE
a1RW000000015hGMAQ,PRD-002895,012W00000004QVmIAM,Templeton India Treasury Management Account - Regular Plan,Mutual Fund,a1QW00000001FvIMAU,true,Lumpsum,TRUE
a1RW00000001AZKMA2,PRD-003401,012W00000004QVmIAM,Test 00,Mutual Fund,a1QW00000001FvNMAU,true,SIP,TRUE
a1RW000000015hHMAQ,PRD-002896,012W00000004QVmIAM,"Top Up Policy with Rs.4,00,000 deductible",Mutual Fund,a1QW00000001FvJMAU,true,Lumpsum,TRUE
