"ID","ISDELETED","NAME","RECORDTYPEID","PRODUCT_NAME__C","CURRENT_NAV__C","PRODUCTTYPE__C","SIP_ALLOWED__C","CURRENTLY_RECOMMENDED__C","FEES__C","FEES_IN_ADVANCE_OR_ON_SERVICE_DELIVERY__C","PRODUCT_MANUFACTURER__C","IS_ACTIVE__C","EARN_UPFRONT_FEES__C","EARN_TRAIL_FEES__C","EARN_ONE_TIME_FEES__C","RECOMMENDED_IMAGE__C","ACTIVE_RECOMMENDATION_COUNT__C","CUSTOMUNIQUEKEY__C","INVESTMENT_TYPE__C","POLICY_TYPE__C","IS_RECOMMENDED__C","ISTOPUPSERVICE__C","ISRENEWALALLOWED__C","SUBSCRIPTION_PERIOD_IN_DAYS__C","RENEWAL_PERIOD_IN_DAYS__C","BASE_PRODUCT_WEIGHTAGE__C","NO_OF_GOALS_ALLOWED__C","GOALS_ALLOWED_LIST__C","DATA_COLLECTION_ANALYSIS_CONTROL__C","FINANCIAL_PLANING_OUTPUT_REPORT__C","RENEWAL_GRACE_DAYS__C","ISRENEWALDATEUPDATE__C"
"a1RW000000015fAMAQ","false","PRD-002803","012W00000004QVwIAM","Bajaj Allianz Critical Care j Allianz","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Critical Care j AllianzGeneral Insurancea1QW00000001FvNMAU","","Critical Illness","false","false","false","","","","","","","","","false"
"a1RW000000015fBMAQ","false","PRD-002804","012W00000004QVwIAM","Bajaj Allianz Critical Care Policy","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Critical Care PolicyGeneral Insurancea1QW00000001FvNMAU","","Critical Illness","false","false","false","","","","","","","","","false"
"a1RW000000015fbMAA","false","PRD-002822","012W00000004QVwIAM","Bajaj Allianz Critical Care Policy","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Critical Care PolicyGeneral Insurancea1QW00000001FvNMAU","","Medical","false","false","false","","","","","","","","","false"
"a1RW000000015fgMAA","false","PRD-002823","012W00000004QVwIAM","Bajaj Allianz Critical Illness Cover","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Critical Illness CoverGeneral Insurancea1QW00000001FvNMAU","","Medical","false","false","false","","","","","","","","","false"
"a1RW000000015fCMAQ","false","PRD-002805","012W00000004QVwIAM","Bajaj Allianz Critical Illness Cover","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Critical Illness CoverGeneral Insurancea1QW00000001FvNMAU","","Critical Illness","false","false","false","","","","","","","","","false"
"a1RW000000015flMAA","false","PRD-002824","012W00000004QVwIAM","Bajaj Allianz Extra Care","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Extra CareGeneral Insurancea1QW00000001FvNMAU","","Top Up","false","false","false","","","","","","","","","false"
"a1RW000000015fDMAQ","false","PRD-002806","012W00000004QVwIAM","Bajaj Allianz Extra Care","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Extra CareGeneral Insurancea1QW00000001FvNMAU","","Medical","false","false","false","","","","","","","","","false"
"a1RW000000015fEMAQ","false","PRD-002807","012W00000004QVwIAM","Bajaj Allianz Health Guard","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Health GuardGeneral Insurancea1QW00000001FvNMAU","","Medical","false","false","false","","","","","","","","","false"
"a1RW000000015f9MAA","false","PRD-002802","012W00000004QVwIAM","Bajaj Allianz Individual Health Guard","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Individual Health GuardGeneral Insurancea1QW00000001FvNMAU","","Medical","false","false","false","","","","","","","","","false"
"a1RW000000015fqMAA","false","PRD-002825","012W00000004QVwIAM","Bajaj Allianz Premier Personal Guard","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Premier Personal GuardGeneral Insurancea1QW00000001FvNMAU","","Disability","false","false","false","","","","","","","","","false"
"a1RW000000015fFMAQ","false","PRD-002808","012W00000004QVwIAM","Bajaj Allianz Premier Personal Guard","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Premier Personal GuardGeneral Insurancea1QW00000001FvNMAU","","Personal Accident","false","false","false","","","","","","","","","false"
"a1RW000000015fvMAA","false","PRD-002826","012W00000004QVwIAM","Bajaj Allianz Premier Personal Guard","0.0","General Insurance","","No","","false","a1QW00000001FvNMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Bajaj Allianz Premier Personal GuardGeneral Insurancea1QW00000001FvNMAU","","Medical","false","false","false","","","","","","","","","false"
"a1RW000000015iBMAQ","false","PRD-002902","012W00000004QVmIAM","Birla Sun Life Dividend Yield Plus - Growth","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Dividend Yield Plus - GrowthMutual Funda1QW00000001FuOMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gFMAQ","false","PRD-002832","012W00000004QVmIAM","Birla Sun Life Dividend Yield Plus - Growth","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Dividend Yield Plus - GrowthMutual Funda1QW00000001FuOMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015gGMAQ","false","PRD-002833","012W00000004QVmIAM","Birla Sun Life Dynamic Bond Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Dynamic Bond FundMutual Funda1QW00000001FuOMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015iCMAQ","false","PRD-002903","012W00000004QVmIAM","Birla Sun Life Dynamic Bond Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Dynamic Bond FundMutual Funda1QW00000001FuOMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gIMAQ","false","PRD-002835","012W00000004QVmIAM","Birla Sun Life Frontline Equity Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Frontline Equity FundMutual Funda1QW00000001FuOMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015iDMAQ","false","PRD-002904","012W00000004QVmIAM","Birla Sun Life Frontline Equity Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Frontline Equity FundMutual Funda1QW00000001FuOMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gJMAQ","false","PRD-002836","012W00000004QVmIAM","Birla Sun Life Gold Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Gold FundMutual Funda1QW00000001FuOMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015iEMAQ","false","PRD-002905","012W00000004QVmIAM","Birla Sun Life Infrastructure Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Infrastructure FundMutual Funda1QW00000001FuOMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gKMAQ","false","PRD-002837","012W00000004QVmIAM","Birla Sun Life Medium Term Plan","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Medium Term PlanMutual Funda1QW00000001FuOMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015gHMAQ","false","PRD-002834","012W00000004QVmIAM","Birla Sun Life Medium Term Plan","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Medium Term PlanMutual Funda1QW00000001FuOMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015iFMAQ","false","PRD-002906","012W00000004QVmIAM","Birla Sun Life Medium Term Plan","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Medium Term PlanMutual Funda1QW00000001FuOMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gLMAQ","false","PRD-002838","012W00000004QVmIAM","Birla Sun Life MidCap Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life MidCap FundMutual Funda1QW00000001FuOMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015gMMAQ","false","PRD-002839","012W00000004QVmIAM","Birla Sun Life Savings Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Savings FundMutual Funda1QW00000001FuOMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015iGMAQ","false","PRD-002907","012W00000004QVmIAM","Birla Sun Life Savings Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FuOMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Birla Sun Life Savings FundMutual Funda1QW00000001FuOMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015eEMAQ","false","PRD-002746","012W00000004QVrIAM","BSLI Protector Plus Plan","0.0","Life Insurance","","No","","false","a1QW00000001FvKMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","BSLI Protector Plus PlanLife Insurancea1QW00000001FvKMAU","","Term Life","false","false","false","","","","","","","","","false"
"a1RW000000010xqMAA","false","PRD-001887","012W00000004PUxIAM","Comprehensive Financial Planning","0.0","Base Product","","No","","false","a1QW00000001BaEMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Comprehensive Financial PlanningBase Producta1QW00000001BaEMAU","","","false","false","true","360.0","30.0","100.0","99.0","Education;Marriage;House;Car;Vacation;Parental Responsibility;Debt Management;Emergency Fund;Retirement;Money to Heirs;Others","Portfolio Summary;Networth;Cash Flow;Asset Allocation;Emergency Planning;Life Insurance Planning;General Insurance Planning;Succession Planning;Global Assumptions","Introduction;Disclosure Statement;Goal Summary;Financial Statements;Emergency Planning;Individual Goal;Life Insurance Analysis;General Insurance;Estate Planning;Summary Action Plan;Annexure 1;Financial Plan Review;Investment Risk;Delivery Acknowledgement","15.0","false"
"a1RW000000011bCMAQ","false","PRD-001896","012W00000004PbtIAE","Credit Ready Planning","0.0","Value Added Services","","No","","false","a1QW00000001BaEMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Credit Ready PlanningValue Added Servicesa1QW00000001BaEMAU","","","false","false","false","365.0","365.0","","","","","","","false"
"a1RW000000011b7MAA","false","PRD-001895","012W00000004PbtIAE","Credit X Ray","0.0","Value Added Services","","No","","false","a1QW00000001BaEMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Credit X RayValue Added Servicesa1QW00000001BaEMAU","","","false","false","false","365.0","365.0","","","","","","","false"
"a1RW000000015iJMAQ","false","PRD-002910","012W00000004QVmIAM","DSP BlackRock Equity Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Equity FundMutual Funda1QW00000001FvBMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gRMAQ","false","PRD-002844","012W00000004QVmIAM","DSP BlackRock Equity Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Equity FundMutual Funda1QW00000001FvBMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015gNMAQ","false","PRD-002840","012W00000004QVmIAM","DSP BlackRock Equity Fund - Regular Plan","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Equity Fund - Regular PlanMutual Funda1QW00000001FvBMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015iHMAQ","false","PRD-002908","012W00000004QVmIAM","DSP BlackRock Equity Fund - Regular Plan","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Equity Fund - Regular PlanMutual Funda1QW00000001FvBMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gSMAQ","false","PRD-002845","012W00000004QVmIAM","DSP BlackRock Income Opportunities Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Income Opportunities FundMutual Funda1QW00000001FvBMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015iIMAQ","false","PRD-002909","012W00000004QVmIAM","DSP BlackRock Micro Cap Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Micro Cap FundMutual Funda1QW00000001FvBMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gPMAQ","false","PRD-002842","012W00000004QVmIAM","DSP BlackRock Micro Cap Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Micro Cap FundMutual Funda1QW00000001FvBMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015iMMAQ","false","PRD-002913","012W00000004QVmIAM","DSP BlackRock Money Manager Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Money Manager FundMutual Funda1QW00000001FvBMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gWMAQ","false","PRD-002849","012W00000004QVmIAM","DSP BlackRock Money Manager Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Money Manager FundMutual Funda1QW00000001FvBMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015gQMAQ","false","PRD-002843","012W00000004QVmIAM","DSP BlackRock Opportunities Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Opportunities FundMutual Funda1QW00000001FvBMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015gTMAQ","false","PRD-002846","012W00000004QVmIAM","DSP BlackRock Short Term Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Short Term FundMutual Funda1QW00000001FvBMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015iKMAQ","false","PRD-002911","012W00000004QVmIAM","DSP BlackRock Short Term Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Short Term FundMutual Funda1QW00000001FvBMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015iNMAQ","false","PRD-002914","012W00000004QVmIAM","DSP BlackRock Small and Mid Cap Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Small and Mid Cap FundMutual Funda1QW00000001FvBMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000015gUMAQ","false","PRD-002847","012W00000004QVmIAM","DSP BlackRock Small and Mid Cap Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Small and Mid Cap FundMutual Funda1QW00000001FvBMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015gOMAQ","false","PRD-002841","012W00000004QVmIAM","DSP BlackRock Tax Saver Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Tax Saver FundMutual Funda1QW00000001FvBMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015gVMAQ","false","PRD-002848","012W00000004QVmIAM","DSP BlackRock Top 100 Equity Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Top 100 Equity FundMutual Funda1QW00000001FvBMAU","Lumpsum","","false","false","false","","","","","","","","","false"
"a1RW000000015iLMAQ","false","PRD-002912","012W00000004QVmIAM","DSP BlackRock Top 100 Equity Fund","0.0","Mutual Fund","","No","","false","a1QW00000001FvBMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","DSP BlackRock Top 100 Equity FundMutual Funda1QW00000001FvBMAU","SIP","","false","false","false","","","","","","","","","false"
"a1RW000000010xbMAA","false","PRD-001884","012W00000004PUxIAM","Dual Goal Planning","0.0","Base Product","","No","","false","a1QW00000001BaEMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Dual Goal PlanningBase Producta1QW00000001BaEMAU","","","false","true","true","361.0","30.0","30.0","2.0","Education;Marriage;House;Car;Vacation;Parental Responsibility;Debt Management;Emergency Fund;Money to Heirs;Others","Portfolio Summary;Networth;Cash Flow;Asset Allocation;Emergency Planning;Life Insurance Planning;General Insurance Planning;Succession Planning;Global Assumptions","Introduction;Disclosure Statement;Goal Summary;Financial Statements;Emergency Planning;Individual Goal;Life Insurance Analysis;General Insurance;Estate Planning;Summary Action Plan;Annexure 1;Financial Plan Review;Investment Risk;Delivery Acknowledgement","15.0","false"
"a1RW000000010xgMAA","false","PRD-001885","012W00000004PUxIAM","Early Planning for Retirement","0.0","Base Product","","No","","false","a1QW00000001BaEMAU","true","false","false","false","<img src=""/img/samples/color_yellow.gif"" alt=""yellow"" height=""10"" width=""20"" border=""0""/>","0.0","Early Planning for RetirementBase Producta1QW00000001BaEMAU","","","false","false","true","365.0","30.0","20.0","1.0","Retirement","Portfolio Summary;Networth;Cash Flow;Asset Allocation;Emergency Planning;Life Insurance Planning;General Insurance Planning;Succession Planning;Global Assumptions","Introduction;Disclosure Statement;Goal Summary;Financial Statements;Emergency Planning;Individual Goal;Life Insurance Analysis;General Insurance;Estate Planning;Summary Action Plan;Annexure 1;Financial Plan Review;Investment Risk;Delivery Acknowledgement","15.0","false"
